Time(sec)	lon(deg)	lon(min)	lon(sec)	lat(deg)	lat(min)	lat(sec)	H(m)
29100	162	25	17.694809	2	50	48.403678	20365117.613820
29400	162	33	5.071796	0	47	40.440002	20359867.228250
29700	162	40	49.517981	-1	15	32.183317	20354290.055301
30000	162	48	43.956057	-3	18	45.336353	20348396.370508
30300	162	57	1.401357	-5	21	54.846562	20342197.046632
30600	163	5	55.067794	-7	24	56.454850	20335703.535906
30900	163	15	38.475961	-9	27	45.770246	20328927.851229
31200	163	26	25.564358	-11	30	18.222427	20321882.546309
31500	163	38	30.804663	-13	32	29.011295	20314580.694782
31800	163	52	9.321854	-15	34	13.052741	20307035.868311
32100	164	7	37.019797	-17	35	24.919686	20299262.113692
32400	164	25	10.712671	-19	35	58.777408	20291273.928988
32700	164	45	8.262145	-21	35	48.312085	20283086.238708
33000	165	7	48.719685	-23	34	46.651412	20274714.368064
33300	165	33	32.472457	-25	32	46.276096	20266174.016332
33600	166	2	41.390119	-27	29	38.920971	20257481.229333
33900	166	35	38.968068	-29	25	15.464542	20248652.371099
34200	167	12	50.460398	-31	19	25.805811	20239704.094721
34500	167	54	42.992641	-33	11	58.727539	20230653.312445
34800	168	41	45.640157	-35	2	41.745507	20221517.165051
35100	169	34	29.452533	-36	51	20.944138	20212312.990546
35400	170	33	27.397383	-38	37	40.800004	20203058.292242
35700	171	39	14.188338	-40	21	23.996563	20193770.706242
36000	172	52	25.952063	-42	2	11.236087	20184467.968407
36300	174	13	39.678263	-43	39	41.058314	20175167.880859
36600	175	43	32.386450	-45	13	29.680233	20165888.278060
36900	177	22	39.936227	-46	43	10.877507	20156646.992557
37200	179	11	35.408394	-48	8	15.935340	20147461.820432
37500	-178	49	13.001324	-49	28	13.704478	20138350.486540
37800	-176	39	24.597651	-50	42	30.805277	20129330.609606
38100	-174	18	49.264718	-51	50	32.027114	20120419.667240
38400	-171	47	30.859576	-52	51	40.968741	20111634.960959
38700	-169	5	50.633951	-53	45	20.953370	20102993.581287
39000	-166	14	30.245415	-54	30	56.226668	20094512.373016
39300	-163	14	33.790725	-55	7	53.404860	20086207.900698
39600	-160	7	28.248340	-55	35	43.086683	20078096.414473
39900	-156	55	1.815529	-55	54	1.486797	20070193.816286
40200	-153	39	19.901655	-56	2	31.905154	20062515.626611
40500	-150	22	38.964921	-56	1	5.834904	20055076.951735
40800	-147	7	18.850680	-55	49	43.542882	20047892.451716
41100	-143	55	34.652823	-55	28	34.030690	20040976.309082
