Time(sec)	lon(deg)	lon(min)	lon(sec)	lat(deg)	lat(min)	lat(sec)	H(m)
142500	-99	41	26.785837	36	26	53.903291	20157355.637800
142800	-98	43	27.267873	38	14	9.675571	20166600.501005
143100	-97	38	55.915403	39	58	43.057839	20175882.311507
143400	-96	27	18.417170	41	40	15.760092	20185183.235391
143700	-95	7	59.729460	43	18	27.539665	20194485.439469
144000	-93	40	24.844533	44	52	56.061587	20203771.125514
144300	-92	3	59.878173	46	23	16.797350	20213022.564151
144600	-90	18	13.539241	47	49	2.986396	20222222.128317
144900	-88	22	39.031509	49	9	45.691268	20231352.326265
145200	-86	16	56.406762	50	24	53.983379	20240395.834022
145500	-84	0	55.331478	51	33	55.300025	20249335.527275
145800	-81	34	38.142212	52	36	16.011805	20258154.512622
146100	-78	58	22.949197	53	31	22.229998	20266836.158140
146400	-76	12	46.417677	54	18	40.862442	20275364.123237
146700	-73	18	45.743028	54	57	40.892677	20283722.387735
147000	-70	17	39.285826	55	27	54.812652	20291895.280150
147300	-67	11	5.397813	55	49	0.091422	20299867.505139
147600	-64	0	59.182031	56	0	40.523405	20307624.170072
147900	-60	49	27.276111	56	2	47.284790	20315150.810710
148200	-57	38	41.151613	55	55	19.546842	20322433.415945
148500	-54	30	49.762986	55	38	24.551551	20329458.451602
148800	-51	27	52.537873	55	12	17.136861	20336212.883248
149100	-48	31	33.616855	54	37	18.784077	20342684.198021
149400	-45	43	17.956905	53	53	56.325993	20348860.425431
149700	-43	4	9.514756	53	2	40.485719	20354730.157138
150000	-40	34	51.351177	52	4	4.410659	20360282.565675
150300	-38	15	47.238074	50	58	42.332642	20365507.422122
150600	-36	7	4.240553	49	47	8.438246	20370395.112692
150900	-34	8	35.764716	48	29	55.986618	20374936.654254
151200	-32	20	4.660919	47	7	36.674555	20379123.708747
151500	-30	41	6.101137	45	40	40.223744	20382948.596504
151800	-29	11	10.071563	44	9	34.152333	20386404.308469
152100	-27	49	43.418438	42	34	43.689540	20389484.517300
152400	-26	36	11.451170	40	56	31.794548	20392183.587351
152700	-25	29	59.145446	39	15	19.246549	20394496.583545
153000	-24	30	32.006805	37	31	24.779505	20396419.279108
153300	-23	37	16.659091	35	45	5.241625	20397948.162179
153600	-22	49	41.218201	33	56	35.765198	20399080.441300
153900	-22	7	15.503486	32	6	9.936936	20399814.049757
154200	-21	29	31.130058	30	13	59.962472	20400147.648800
154500	-20	56	1.516263	28	20	16.821230	20400080.629723
154800	-20	26	21.832733	26	25	10.409689	20399613.114809
155100	-20	0	8.912831	24	28	49.672316	20398745.957142
155400	-19	37	1.139019	22	31	22.720247	20397480.739279
155700	-19	16	38.315528	20	32	56.938318	20395819.770792
156000	-18	58	41.534573	18	33	39.081322	20393766.084670
156300	-18	42	53.041002	16	33	35.360547	20391323.432593
156600	-18	28	56.098485	14	32	51.521668	20388496.279070
156900	-18	16	34.859132	12	31	32.915101	20385289.794452
157200	-18	5	34.237472	10	29	44.559855	20381709.846814
157500	-17	55	39.789098	8	27	31.201900	20377762.992714
157800	-17	46	37.593836	6	24	57.367962	20373456.466832
158100	-17	38	14.142947	4	22	7.415648	20368798.170498
158400	-17	30	16.229707	2	19	5.580714	20363796.659100
158700	-17	22	30.842522	0	15	56.022248	20358461.128397
159000	-17	14	45.059655	-1	47	17.133458	20352801.399732
159300	-17	6	45.944593	-3	50	29.749652	20346827.904152
159600	-16	58	20.441044	-5	53	37.635734	20340551.665459
159900	-16	49	15.266522	-7	56	36.503040	20333984.282180
160200	-16	39	16.803547	-9	59	21.919031	20327137.908494
160500	-16	28	10.987450	-12	1	49.259145	20320025.234107
160800	-16	15	43.189930	-14	3	53.655468	20312659.463103
161100	-16	1	38.097572	-16	5	29.941374	20305054.291792
161400	-15	45	39.584770	-18	6	32.591193	20297223.885560
161700	-15	27	30.580804	-20	6	55.653895	20289182.854753
162000	-15	6	52.931244	-22	6	32.679702	20280946.229621
162300	-14	43	27.254530	-24	5	16.638471	20272529.434334
162600	-14	16	52.795523	-26	2	59.828636	20263948.260121
162900	-13	46	47.279122	-27	59	33.775455	20255218.837533
163200	-13	12	46.768913	-29	54	49.117375	20246357.607896
163500	-12	34	25.538316	-31	48	35.479436	20237381.293960
163800	-11	51	15.965154	-33	40	41.332939	20228306.869811
164100	-11	2	48.465041	-35	30	53.841124	20219151.530063
164400	-10	8	31.484882	-37	18	58.691458	20209932.658391
164700	-9	7	51.585177	-39	4	39.916477	20200667.795450
165000	-8	0	13.648746	-40	47	39.707108	20191374.606226
165300	-6	45	1.263842	-42	27	38.225239	20182070.846874
165600	-5	21	37.340413	-44	4	13.426220	20172774.331106
165900	-3	49	25.028034	-45	37	0.907139	20163502.896179
166200	-2	7	49.009519	-47	5	33.803165	20154274.368559
166500	0	-16	17.240833	-48	29	22.761775	20145106.529308
166800	1	45	36.811444	-49	47	56.032553	20136017.079279
167100	3	58	11.427461	-51	0	39.716994	20127023.604185
167400	6	21	33.454844	-52	6	58.225904	20118143.539611
167700	8	55	34.874452	-53	6	14.988063	20109394.136043
168000	11	39	49.436463	-53	57	53.438797	20100792.424007
168300	14	33	29.843100	-54	41	18.287526	20092355.179380
168600	17	35	26.067544	-55	15	57.018644	20084098.888960
168900	20	44	5.412576	-55	41	21.524716	20076039.716388
169200	23	57	34.769570	-55	57	9.716520	20068193.468483
169500	27	13	45.217946	-56	3	6.917716	20060575.562109
169800	30	30	18.655144	-55	59	6.850425	20053200.991618
170100	33	44	55.688742	-55	45	12.061195	20046084.296995
170400	36	55	23.711002	-55	21	33.719512	20039239.532761
170700	39	59	44.029543	-54	48	30.822680	20032680.237733
171000	42	56	17.164560	-54	6	28.932801	20026419.405723
171300	45	43	45.851475	-53	15	58.629484	20020469.457260
171600	48	21	15.756584	-52	17	33.875018	20014842.212409
171900	50	48	14.283583	-51	11	50.462344	20009548.864781
172200	53	4	28.048393	-49	59	24.665834	20004599.956792
172500	55	9	59.630070	-48	40	52.158535	20000005.356266
172800	57	5	4.116626	-47	16	47.210631	19995774.234434
