Time(sec)	Xin(m)	Yin(m)	Zin(m)	x(m)	y(m)	z(m)
9300	23501953.676351	-11128001.926257	4660095.908585	7165909.435002	24996479.661054	4660095.908585
9600	23615527.201696	-10448679.137571	5603558.149338	7022438.259863	24850621.352802	5603558.149338
9900	23683197.554282	-9749045.313278	6536127.837139	6861640.128991	24675000.013288	6536127.837139
10200	23704871.879605	-9030476.144819	7456002.802813	6682482.927680	24470694.149367	7456002.802813
10500	23680548.019155	-8294382.254489	8361408.936579	6484010.293462	24238868.413879	8361408.936579
10800	23610314.203291	-7542206.225497	9250603.676676	6265346.522330	23980768.221248	9250603.676676
11100	23494348.553866	-6775419.584200	10121879.407161	6025701.104614	23697714.039762	10121879.407161
11400	23332918.400252	-5995519.742248	10973566.758018	5764372.871500	23391095.388007	10973566.758018
11700	23126379.412865	-5204026.906331	11804037.801191	5480753.735110	23062364.564040	11804037.801191
12000	22875174.558685	-4402480.963105	12611709.136570	5174332.007127	22713030.136924	12611709.136570
12300	22579832.883692	-3592438.346778	13395044.862448	4844695.283003	22344650.231000	13395044.862448
12600	22240968.127474	-2775468.896671	14152559.425385	4491532.880875	21958825.633985	14152559.425385
12900	21859277.175576	-1953152.711952	14882820.344914	4114637.826478	21557192.760463	14882820.344914
13200	21435538.355469	-1127077.010496	15584450.808958	3713908.377431	21141416.502695	15584450.808958
13500	20970609.582262	-298832.998670	16256132.136296	3289349.082446	20713183.000846	16256132.136296
13800	20465426.360482	529987.241400	16896606.102853	2841071.373103	20274192.364809	16896606.102853
14100	19920999.648464	1357793.840750	17504677.129055	2369293.687937	19826151.379639	17504677.129055
14400	19338413.592013	2183002.202617	18079214.325884	1874341.130668	19370766.226411	18079214.325884
14700	18718823.134155	3004036.025757	18619153.397727	1356644.666394	18909735.249891	18619153.397727
15000	18063451.507852	3819330.286493	19123498.400493	816739.861584	18444741.803895	19123498.400493
15300	17373587.618643	4627334.174210	19591323.353864	255265.175590	17977447.204556	19591323.353864
15600	16650583.324194	5426513.975274	20021773.706934	-327040.186736	17509483.820948	20021773.706934
15900	15895850.617759	6215355.900649	20414067.656842	-929338.849940	17042448.331617	20414067.656842
16200	15110858.722514	6992368.852766	20767497.320319	-1550698.257323	16577895.174588	20767497.320319
16500	14297131.103726	7756087.127453	21081429.758431	-2190094.060062	16117330.217311	21081429.758431
16800	13456242.405617	8505073.047038	21355307.855059	-2846413.889863	15662204.671813	21355307.855059
17100	12589815.319719	9237919.521021	21588651.049961	-3518461.497492	15213909.279083	21588651.049961
17400	11699517.391532	9953252.530789	21781055.927510	-4204961.238166	14773768.785315	21781055.927510
17700	10787057.771797	10649733.535688	21932196.662436	-4904562.883547	14343036.731271	21932196.662436
18000	9854183.919229	11326061.797041	22041825.324138	-5615846.738931	13922890.574490	22041825.324138
18300	8902678.260769	11980976.617939	22109772.041303	-6337329.043184	13514427.162584	22109772.041303
18600	7934354.815651	12613259.496253	22135945.028778	-7067467.628022	13118658.574233	22135945.028778
18900	6951055.789304	13221736.188756	22120330.478778	-7804667.812415	12736508.342906	22120330.478778
19200	5954648.142967	13805278.684425	22062992.318669	-8547288.507143	12368808.076643	22062992.318669
19500	4947020.144731	14362807.085188	21964071.837697	-9293648.503914	12016294.485589	21964071.837697
19800	3930077.907560	14893291.392585	21823787.185113	-10042032.922925	11679606.827236	21823787.185113
20100	2905741.919670	15395753.198982	21642432.742289	-10790699.792336	11359284.777634	21642432.742289
20400	1875943.572483	15869267.282158	21420378.371447	-11537886.732790	11055766.735103	21420378.371447
20700	842621.691213	16312963.102213	21158068.543722	-12281817.719917	10769388.561260	21158068.543722
21000	-192280.927038	16726026.199941	20856021.349328	-13020709.897629	10500382.762442	20856021.349328
21300	-1226820.962927	17107699.495881	20514827.392626	-13752780.414989	10248878.112923	20514827.392626
21600	-2259058.007699	17457284.489449	20135148.574945	-14476253.259526	10014899.719607	20135148.574945
21900	-3287057.974753	17774142.357601	19717716.768017	-15189366.060031	9798369.526204	19717716.768017
22200	-4308896.485654	18057694.952637	19263332.380909	-15890376.832124	9599107.253264	19263332.380909
22500	-5322662.226441	18307425.698803	18772862.823345	-16577570.640237	9416831.768803	18772862.823345
22800	-6326460.270186	18522880.387456	18247240.868313	-17249266.150084	9251162.882676	18247240.868313
23100	-7318415.361892	18703667.870623	17687462.916858	-17903822.046239	9101623.556288	17687462.916858
23400	-8296675.161918	18849460.652847	17094587.167956	-18539643.289982	8967642.517732	17094587.167956
23700	-9259413.444209	18959995.381283	16469731.696365	-19155187.193328	8848557.270970	16469731.696365
24000	-10204833.245716	19035073.234046	15814072.441335	-19748969.285833	8743617.486234	15814072.441335
24300	-11131169.963457	19074560.206865	15128841.109066	-20319568.951657	8651988.757479	15128841.109066
24600	-12036694.395736	19078387.298155	14415322.991797	-20865634.815227	8572756.711370	14415322.991797
24900	-12919715.724147	19046550.592587	13674854.706407	-21385889.854808	8504931.451035	13674854.706407
25200	-13778584.432761	18979111.243519	12908821.855411	-21879136.224338	8447452.316614	12908821.855411
25500	-14611695.161770	18876195.354066	12118656.613244	-22344259.764953	8399192.943471	12118656.613244
25800	-15417489.491498	18737993.757583	11305835.240748	-22780234.188772	8358966.597872	11305835.240748
26100	-16194458.654114	18564761.697432	10471875.530772	-23186124.918739	8325531.768897	10471875.530772
26400	-16941146.169581	18356818.406489	9618334.187835	-23561092.569546	8297597.994434	9618334.187835
26700	-17656150.402620	18114546.586680	8746804.144842	-23904396.055985	8273831.898194	8746804.144842
27000	-18338127.037500	17838391.788935	7858911.819860	-24215395.316417	8252863.413910	7858911.819860
27300	-18985791.467405	17528861.693936	6956314.316025	-24493553.640439	8233292.172142	6956314.316025
27600	-19597921.095170	17186525.294133	6040696.567694	-24738439.591271	8213694.024456	6040696.567694
27900	-20173357.542154	16812011.977496	5113768.436031	-24949728.514859	8192627.679194	5113768.436031
28200	-20711008.762006	16406010.513563	4177261.757286	-25127203.629156	8168641.422536	4177261.757286
28500	-21209851.056087	15969267.942388	3232927.347091	-25270756.688639	8140279.898185	3232927.347091
28800	-21668930.987295	15502588.367051	2282531.964220	-25380388.220613	8106090.918646	2282531.964220
29100	-22087367.189020	15006831.650490	1327855.237315	-25456207.331473	8064632.280880	1327855.237315
29400	-22464352.065980	14482912.017463	370686.558234	-25498431.082678	8014478.558948	370686.558234
29700	-22799153.383655	13931796.562581	-587178.054242	-25507383.437802	7954227.846215	-587178.054242
30000	-23091115.743063	13354503.665409	-1543939.116471	-25483493.783656	7882508.419744	-1543939.116471
30300	-23339661.937624	12752101.313782	-2497796.863770	-25427295.030076	7797985.299614	-2497796.863770
30600	-23544294.188872	12125705.336573	-3446954.451862	-25339421.294643	7699366.676172	-3446954.451862
30900	-23704595.257806	11476477.547306	-4389621.171652	-25220605.180163	7585410.178530	-4389621.171652
31200	-23820229.428700	10805623.800123	-5324015.672909	-25071674.654397	7454928.958060	-5324015.672909
31500	-23890943.362256	10114391.959798	-6248369.192259	-24893549.543107	7306797.561165	-6248369.192259
31800	-23916566.815027	9404069.787615	-7160928.780746	-24687237.649041	7139957.566243	-7160928.780746
32100	-23897013.222106	8675982.745145	-8059960.526050	-24453830.511076	6953422.960467	-8059960.526050
32400	-23832280.140203	7931491.718098	-8943752.764305	-24194498.819201	6746285.232857	-8943752.764305
32700	-23722449.548287	7171990.662658	-9810619.276284	-23910487.502551	6517718.161031	-9810619.276284
33000	-23567688.003146	6398904.176837	-10658902.462566	-23603110.509099	6266982.270061	-10658902.462566
33300	-23368246.647246	5613684.999964	-11486976.492140	-23273745.297031	5993428.942959	-11486976.492140
33600	-23124461.066725	4817811.442581	-12293250.418755	-22923827.059134	5696504.163579	-12293250.418755
33900	-22836750.997039	4012784.751018	-13076171.259180	-22554842.702799	5375751.873997	-13076171.259180
34200	-22505619.874501	3200126.409400	-13834227.027381	-22168324.609451	5030816.929852	-13834227.027381
34500	-22131654.231837	2381375.383103	-14565949.718528	-21765844.198310	4661447.638636	-14565949.718528
34800	-21715522.936268	1558085.307639	-15269918.236587	-21349005.320448	4267497.867480	-15269918.236587
35100	-21257976.268849	731821.627172	-15944761.259186	-20919437.510042	3848928.708662	-15944761.259186
35400	-20759844.844098	-95841.312813	-16589160.033324	-20478789.120569	3405809.692790	-16589160.033324
35700	-20222038.369267	-923323.213943	-17201851.095439	-20028720.374452	2938319.541426	-17201851.095439
36000	-19645544.242917	-1749040.809496	-17781628.909281	-19570896.355289	2446746.452793	-17781628.909281
36300	-19031425.992836	-2571410.879781	-18327348.415013	-19106979.972337	1931487.916133	-18327348.415013
36600	-18380821.553701	-3388853.292854	-18837927.482947	-18638624.927320	1393050.052281	-18837927.482947
36900	-17694941.385289	-4199794.064835	-19312349.265325	-18167468.713910	832046.480042	-19312349.265325
37200	-16975066.432449	-5002668.433836	-19749664.439599	-17695125.680386	249196.710025	-19749664.439599
37500	-16222545.928477	-5795923.941297	-20148993.336725	-17223180.185996	-354675.930317	-20148993.336725
37800	-15438795.044005	-6578023.514329	-20509527.948068	-16753179.881414	-978646.834583	-20509527.948068
38100	-14625292.383943	-7347448.542431	-20830533.804642	-16286629.143430	-1621693.110264	-20830533.804642
38400	-13783577.335528	-8102701.941798	-21111351.722552	-15824982.693615	-2282697.016443	-21111351.722552
38700	-12915247.270982	-8842311.200250	-21351399.408689	-15369639.430130	-2960449.834140	-21351399.408689
39000	-12021954.608817	-9564831.395685	-21550172.920928	-14921936.501182	-3653656.155010	-21550172.920928
39300	-11105403.738285	-10268848.180815	-21707247.977342	-14483143.647753	-4360938.572083	-21707247.977342
39600	-10167347.812000	-10952980.726866	-21822281.109197	-14054457.842288	-5080842.754170	-21822281.109197
39900	-9209585.412265	-11615884.618829	-21895010.652810	-13636998.248841	-5811842.883704	-21895010.652810
40200	-8233957.097125	-12256254.694812	-21925257.575702	-13231801.528955	-6552347.435824	-21925257.575702
40500	-7242341.832663	-12872827.822024	-21912926.132819	-12839817.516123	-7300705.274785	-21912926.132819
40800	-6236653.318570	-13464385.601925	-21858004.349025	-12461905.280132	-8055212.042049	-21858004.349025
41100	-5218836.214421	-14029756.997138	-21760564.324479	-12098829.600928	-8814116.808813	-21760564.324479
41400	-4190862.274812	-14567820.872704	-21620762.359984	-11751257.869863	-9575628.964283	-21620762.359984
41700	-3154726.401275	-15077508.444622	-21438838.899852	-11419757.434264	-10337925.309612	-21438838.899852
42000	-2112442.620389	-15557805.628326	-21215118.290384	-11104793.399272	-11099157.326242	-21215118.290384
42300	-1066039.996850	-16007755.280358	-20950008.352545	-10806726.898792	-11857458.586293	-20950008.352545
42600	-17558.491240	-16426459.326457	-20643999.767995	-10525813.845213	-12610952.271747	-20643999.767995
42900	1030955.227626	-16813080.769575	-20297665.278218	-10262204.165307	-13357758.768415	-20297665.278218
43200	2077452.005554	-17166845.571635	-19911658.697036	-10015941.527361	-14096003.300093	-19911658.697036
43500	3119884.450566	-17487044.403131	-19486713.737424	-9786963.562293	-14823823.567903	-19486713.737424
43800	4156211.194527	-17773034.255005	-19023642.654141	-9575102.579022	-15539377.359608	-19023642.654141
44100	5184401.157927	-18024239.907624	-18523334.704294	-9380086.771998	-16240850.093627	-18523334.704294
44400	6202437.806787	-18240155.252054	-17986754.428555	-9201541.916339	-16926462.262622	-17986754.428555
44700	7208323.390567	-18420344.459281	-17414939.756400	-9038993.543579	-17594476.741884	-17414939.756400
45000	8200083.149928	-18564442.993447	-16808999.939289	-8891869.588674	-18243205.928254	-16808999.939289
45300	9175769.483144	-18672158.465675	-16170113.316348	-8759503.496489	-18871018.676003	-16170113.316348
45600	10133466.060085	-18743271.325527	-15499524.917665	-8641137.773707	-19476346.997038	-15499524.917665
45900	11071291.872704	-18777635.387661	-14798543.910903	-8535927.969840	-20057692.493810	-14798543.910903
46200	11987405.211187	-18775178.191782	-14068540.897458	-8442947.068834	-20613632.494619	-14068540.897458
46500	12880007.555051	-18735901.194508	-13310945.064931	-8361190.270695	-21142825.862353	-13310945.064931
46800	13747347.368764	-18659879.792347	-12527241.203164	-8289580.140589	-21644018.449332	-12527241.203164
47100	14587723.791725	-18547263.175496	-11718966.591584	-8226972.100982	-22116048.172637	-11718966.591584
47400	15399490.212780	-18398274.012773	-10887707.765992	-8172160.240704	-22557849.686148	-10887707.765992
47700	16181057.719832	-18213207.968511	-10035097.173379	-8123883.413193	-22968458.627553	-10035097.173379
48000	16930898.415510	-17992433.052825	-9162809.723690	-8080831.594764	-23347015.420687	-9162809.723690
48300	17647548.590334	-17736388.807190	-8272559.247775	-8041652.472458	-23692768.615766	-8272559.247775
48600	18329611.745278	-17445585.327810	-7366094.871075	-8004958.229916	-24005077.752422	-7366094.871075
48900	18975761.456230	-17120602.129739	-6445197.312793	-7969332.498784	-24283415.732809	-6445197.312793
49200	19584744.073117	-16762086.855517	-5511675.120539	-7933337.442408	-24527370.694517	-5511675.120539
49500	20155381.247816	-16370753.831682	-4567360.850551	-7895520.937968	-24736647.375512	-4567360.850551
49800	20686572.284316	-15947382.478454	-3614107.203723	-7854423.822836	-24911067.965858	-3614107.203723
50100	21177296.306457	-15492815.576875	-2653783.127723	-7808587.170713	-25050572.443517	-2653783.127723
50400	21626614.238488	-15007957.398956	-1688269.895509	-7756559.563085	-25155218.394074	-1688269.895509
50700	22033670.594550	-14493771.706507	-719457.170514	-7696904.321693	-25225180.316743	-719457.170514
51000	22397695.073818	-13951279.624705	250760.931300	-7628206.668044	-25260748.421534	250760.931300
51300	22718003.958715	-13381557.396775	1220489.772422	-7549080.776520	-25262326.924908	1220489.772422
51600	22994001.314231	-12785734.026472	2187838.107873	-7458176.688325	-25230431.853622	2187838.107873
51900	23225179.987052	-12164988.815295	3150921.972646	-7354187.054347	-25165688.368826	3150921.972646
52200	23411122.403859	-11520548.801587	4107868.532983	-7235853.676061	-25068827.624699	4107868.532983
52500	23551501.168757	-10853686.108876	5056819.892248	-7101973.814719	-24940683.178033	5056819.892248
52800	23646079.460440	-10165715.210952	5995936.842441	-6951406.240405	-24782186.967265	5995936.842441
53100	23694711.230285	-9457990.121308	6923402.552709	-6783076.993973	-24594364.881314	6923402.552709
53400	23697341.203147	-8731901.514645	7837426.186602	-6595984.836407	-24378331.940428	7837426.186602
53700	23654004.683177	-7988873.788209	8736246.440153	-6389206.361856	-24135287.112884	8736246.440153
54000	23564827.167537	-7230362.070717	9618134.993291	-6161900.752339	-23866507.792886	9618134.993291
54300	23430023.771345	-6457849.186660	10481399.867491	-5913314.153958	-23573343.966439	10481399.867491
54600	23249898.467703	-5672842.583681	11324388.683008	-5642783.656424	-23257212.093124	11324388.683008
54900	23024843.147068	-4876871.230679	12145491.809473	-5349740.859662	-22919588.732832	12145491.809473
55200	22755336.500642	-4071482.494189	12943145.404098	-5033715.013317	-22562003.947404	12943145.404098
55500	22441942.732849	-3258239.000453	13715834.332157	-4694335.717078	-22186034.507859	13715834.332157
55800	22085310.108275	-2438715.490442	14462094.964916	-4331335.171835	-21793296.938536	14462094.964916
56100	21686169.338790	-1614495.674939	15180517.850618	-3944549.973828	-21385440.429859	15180517.850618
56400	21245331.816823	-787169.096575	15869750.254581	-3533922.446066	-20964139.651765	15869750.254581
56700	20763687.700997	41671.994488	16528498.564943	-3099501.503440	-20531087.499931	16528498.564943
57000	20242203.860553	870435.744797	17155530.561023	-2641443.050053	-20087987.806929	17155530.561023
57300	19681921.685152	1697533.775289	17749677.541702	-2160009.909371	-19636548.050259	17749677.541702
57600	19083954.766777	2521384.227090	18309836.311650	-1655571.289886	-19178472.088910	18309836.311650
57900	18449486.460585	3340414.768836	18834971.023669	-1128601.790917	-18715452.959646	18834971.023669
58200	17779767.331630	4153065.560735	19324114.875769	-579679.955209	-18249165.763623	19324114.875769
58500	17076112.494407	4957792.169928	19776371.662037	-9486.376821	-17781260.673262	19776371.662037
58800	16339898.852234	5753068.432293	20190917.176669	581198.625369	-17313356.088459	20190917.176669
59100	15572562.243440	6537389.256078	20567000.470934	1191497.756436	-16847031.970282	20567000.470934
59400	14775594.501334	7309273.363027	20903944.963129	1820439.902716	-16383823.379294	20903944.963129
59700	13950540.434868	8067265.962931	21201149.401923	2466963.682319	-15925214.244451	21201149.401923
60000	13098994.736844	8809941.357816	21458088.683757	3129921.371995	-15472631.387361	21458088.683757
60300	12222598.826417	9535905.472264	21674314.525253	3808083.192134	-15027438.825337	21674314.525253
60600	11323037.632569	10243798.306587	21849455.991836	4500141.930341	-14590932.375328	21849455.991836
60900	10402036.325085	10932296.309889	21983219.883980	5204717.882862	-14164334.579338	21983219.883980
61200	9461356.999447	11600114.670243	22075390.982738	5920364.091985	-13748789.970470	22075390.982738
61500	8502795.321919	12246009.519483	22125832.156368	6645571.856573	-13345360.697143	22125832.156368
61800	7528177.140960	12868780.050348	22134484.330070	7378776.491972	-12955022.521456	22134484.330070
62100	6539355.070911	13467270.543890	22101366.320980	8118363.314746	-12578661.206009	22101366.320980
62400	5538205.053793	14040372.305338	22026574.540718	8862673.827003	-12217069.301863	22026574.540718
62700	4526622.904842	14587025.506736	21910282.567898	9610012.074485	-11870943.348573	21910282.567898
63000	3506520.847263	15106220.934907	21752740.593114	10358651.152128	-11540881.495580	21752740.593114
