Pt_ID	xo(m)	yo(m)	zo(m)	lat(m)	lon(m)	he(m)	x(m)	y(m)	z(m)
1	1894800.92594557069242000580	1093963.82465542713180184364	-5971040.00700851436704397202	-1.22173047639603060688	0.52359877559829881566	0.00000000000000000000	1894800.92594557069242000580	1093963.82465542713180184364	-5971040.00700851436704397202	
2	3557514.65831327950581908226	2053932.04562321119010448456	-4862789.03759298194199800491	-0.87266462599716476678	0.52359877559829881566	0.00000000000000000000	3557514.65831327950581908226	2053932.04562321119010448456	-4862789.03759298194199800491	
3	4787610.68828722089529037476	2764128.31965775554999709129	-3170373.73529208218678832054	-0.52359877559829881566	0.52359877559829881566	0.00000000000000000000	4787610.68828722089529037476	2764128.31965775554999709129	-3170373.73529208218678832054	
4	5440261.45378251280635595322	3140936.41480327770113945007	-1100248.54769961861893534660	-0.17453292519943292005	0.52359877559829881566	0.00000000000000000000	5440261.45378251280635595322	3140936.41480327770113945007	-1100248.54769961838610470295	
5	5440261.45378251280635595322	3140936.41480327770113945007	1100248.54769961861893534660	0.17453292519943292005	0.52359877559829881566	0.00000000000000000000	5440261.45378251280635595322	3140936.41480327770113945007	1100248.54769961838610470295	
6	4787610.68828722089529037476	2764128.31965775554999709129	3170373.73529208218678832054	0.52359877559829881566	0.52359877559829881566	0.00000000000000000000	4787610.68828722089529037476	2764128.31965775554999709129	3170373.73529208218678832054	
7	3557514.65831327950581908226	2053932.04562321119010448456	4862789.03759298194199800491	0.87266462599716476678	0.52359877559829881566	0.00000000000000000000	3557514.65831327950581908226	2053932.04562321119010448456	4862789.03759298194199800491	
8	1894800.92594557069242000580	1093963.82465542713180184364	5971040.00700851436704397202	1.22173047639603060688	0.52359877559829881566	0.00000000000000000000	1894800.92594557069242000580	1093963.82465542713180184364	5971040.00700851436704397202	
9	0.00000000013397192962	2187927.64931085472926497459	-5971040.00700851436704397202	-1.22173047639603060688	1.57079632679489655800	0.00000000000000000000	0.00000000013397192962	2187927.64931085472926497459	-5971040.00700851436704397202	
10	0.00000000025153413053	4107864.09124642284587025642	-4862789.03759298194199800491	-0.87266462599716476678	1.57079632679489655800	0.00000000000000000000	0.00000000025153413053	4107864.09124642284587025642	-4862789.03759298194199800491	
11	0.00000000033850808991	5528256.63931551203131675720	-3170373.73529208218678832054	-0.52359877559829881566	1.57079632679489655800	0.00000000000000000000	0.00000000033850808991	5528256.63931551203131675720	-3170373.73529208218678832054	
12	0.00000000038465377267	6281872.82960655633360147476	-1100248.54769961861893534660	-0.17453292519943292005	1.57079632679489655800	0.00000000000000000000	0.00000000038465377267	6281872.82960655633360147476	-1100248.54769961838610470295	
13	0.00000000038465377267	6281872.82960655633360147476	1100248.54769961861893534660	0.17453292519943292005	1.57079632679489655800	0.00000000000000000000	0.00000000038465377267	6281872.82960655633360147476	1100248.54769961838610470295	
14	0.00000000033850808991	5528256.63931551203131675720	3170373.73529208218678832054	0.52359877559829881566	1.57079632679489655800	0.00000000000000000000	0.00000000033850808991	5528256.63931551203131675720	3170373.73529208218678832054	
15	0.00000000025153413053	4107864.09124642284587025642	4862789.03759298194199800491	0.87266462599716476678	1.57079632679489655800	0.00000000000000000000	0.00000000025153413053	4107864.09124642284587025642	4862789.03759298194199800491	
16	0.00000000013397192962	2187927.64931085472926497459	5971040.00700851436704397202	1.22173047639603060688	1.57079632679489655800	0.00000000000000000000	0.00000000013397192962	2187927.64931085472926497459	5971040.00700851436704397202	
17	-1894800.92594557069242000580	1093963.82465542713180184364	-5971040.00700851436704397202	-1.22173047639603060688	2.61799387799149441136	0.00000000000000000000	-1894800.92594557069242000580	1093963.82465542713180184364	-5971040.00700851436704397202	
18	-3557514.65831327950581908226	2053932.04562321119010448456	-4862789.03759298194199800491	-0.87266462599716476678	2.61799387799149441136	0.00000000000000000000	-3557514.65831327950581908226	2053932.04562321119010448456	-4862789.03759298194199800491	
19	-4787610.68828722089529037476	2764128.31965775554999709129	-3170373.73529208218678832054	-0.52359877559829881566	2.61799387799149441136	0.00000000000000000000	-4787610.68828722089529037476	2764128.31965775554999709129	-3170373.73529208218678832054	
20	-5440261.45378251280635595322	3140936.41480327770113945007	-1100248.54769961861893534660	-0.17453292519943292005	2.61799387799149441136	0.00000000000000000000	-5440261.45378251280635595322	3140936.41480327770113945007	-1100248.54769961838610470295	
21	-5440261.45378251280635595322	3140936.41480327770113945007	1100248.54769961861893534660	0.17453292519943292005	2.61799387799149441136	0.00000000000000000000	-5440261.45378251280635595322	3140936.41480327770113945007	1100248.54769961838610470295	
22	-4787610.68828722089529037476	2764128.31965775554999709129	3170373.73529208218678832054	0.52359877559829881566	2.61799387799149441136	0.00000000000000000000	-4787610.68828722089529037476	2764128.31965775554999709129	3170373.73529208218678832054	
23	-3557514.65831327950581908226	2053932.04562321119010448456	4862789.03759298194199800491	0.87266462599716476678	2.61799387799149441136	0.00000000000000000000	-3557514.65831327950581908226	2053932.04562321119010448456	4862789.03759298194199800491	
24	-1894800.92594557069242000580	1093963.82465542713180184364	5971040.00700851436704397202	1.22173047639603060688	2.61799387799149441136	0.00000000000000000000	-1894800.92594557069242000580	1093963.82465542713180184364	5971040.00700851436704397202	
25	-1894800.92594557045958936214	-1093963.82465542759746313095	-5971040.00700851436704397202	-1.22173047639603060688	-2.61799387799149396727	0.00000000000000000000	-1894800.92594557022675871849	-1093963.82465542806312441826	-5971040.00700851436704397202	
26	-3557514.65831327904015779495	-2053932.04562321188859641552	-4862789.03759298194199800491	-0.87266462599716476678	-2.61799387799149396727	0.00000000000000000000	-3557514.65831327857449650764	-2053932.04562321281991899014	-4862789.03759298194199800491	
27	-4787610.68828721996396780014	-2764128.31965775648131966591	-3170373.73529208218678832054	-0.52359877559829881566	-2.61799387799149441136	0.00000000000000000000	-4787610.68828722089529037476	-2764128.31965775554999709129	-3170373.73529208218678832054	
28	-5440261.45378251187503337860	-3140936.41480327863246202469	-1100248.54769961861893534660	-0.17453292519943292005	-2.61799387799149441136	-0.00000000093132257462	-5440261.45378251280635595322	-3140936.41480327770113945007	-1100248.54769961838610470295	
29	-5440261.45378251187503337860	-3140936.41480327863246202469	1100248.54769961861893534660	0.17453292519943292005	-2.61799387799149441136	-0.00000000093132257462	-5440261.45378251280635595322	-3140936.41480327770113945007	1100248.54769961838610470295	
30	-4787610.68828721996396780014	-2764128.31965775648131966591	3170373.73529208218678832054	0.52359877559829881566	-2.61799387799149441136	0.00000000000000000000	-4787610.68828722089529037476	-2764128.31965775554999709129	3170373.73529208218678832054	
31	-3557514.65831327904015779495	-2053932.04562321188859641552	4862789.03759298194199800491	0.87266462599716476678	-2.61799387799149396727	0.00000000000000000000	-3557514.65831327857449650764	-2053932.04562321281991899014	4862789.03759298194199800491	
32	-1894800.92594557045958936214	-1093963.82465542759746313095	5971040.00700851436704397202	1.22173047639603060688	-2.61799387799149396727	0.00000000000000000000	-1894800.92594557022675871849	-1093963.82465542806312441826	5971040.00700851436704397202	
33	-0.00000000040191578887	-2187927.64931085472926497459	-5971040.00700851436704397202	-1.22173047639603060688	-1.57079632679489700209	0.00000000000000000000	-0.00000000083766313137	-2187927.64931085472926497459	-5971040.00700851436704397202	
34	-0.00000000075460239160	-4107864.09124642284587025642	-4862789.03759298194199800491	-0.87266462599716476678	-1.57079632679489700209	0.00000000000000000000	-0.00000000157272398792	-4107864.09124642284587025642	-4862789.03759298194199800491	
35	-0.00000000101552426973	-5528256.63931551203131675720	-3170373.73529208218678832054	-0.52359877559829881566	-1.57079632679489700209	0.00000000000000000000	-0.00000000211653103289	-5528256.63931551203131675720	-3170373.73529208218678832054	
36	-0.00000000115396131801	-6281872.82960655633360147476	-1100248.54769961861893534660	-0.17453292519943292005	-1.57079632679489700209	0.00000000000000000000	-0.00000000240505816861	-6281872.82960655633360147476	-1100248.54769961838610470295	
37	-0.00000000115396131801	-6281872.82960655633360147476	1100248.54769961861893534660	0.17453292519943292005	-1.57079632679489700209	0.00000000000000000000	-0.00000000240505816861	-6281872.82960655633360147476	1100248.54769961838610470295	
38	-0.00000000101552426973	-5528256.63931551203131675720	3170373.73529208218678832054	0.52359877559829881566	-1.57079632679489700209	0.00000000000000000000	-0.00000000211653103289	-5528256.63931551203131675720	3170373.73529208218678832054	
39	-0.00000000075460239160	-4107864.09124642284587025642	4862789.03759298194199800491	0.87266462599716476678	-1.57079632679489700209	0.00000000000000000000	-0.00000000157272398792	-4107864.09124642284587025642	4862789.03759298194199800491	
40	-0.00000000040191578887	-2187927.64931085472926497459	5971040.00700851436704397202	1.22173047639603060688	-1.57079632679489700209	0.00000000000000000000	-0.00000000083766313137	-2187927.64931085472926497459	5971040.00700851436704397202	
41	1894800.92594556999392807484	-1093963.82465542829595506191	-5971040.00700851436704397202	-1.22173047639603060688	-0.52359877559829948179	0.00000000000000000000	1894800.92594556999392807484	-1093963.82465542852878570557	-5971040.00700851436704397202	
42	3557514.65831327857449650764	-2053932.04562321328558027744	-4862789.03759298194199800491	-0.87266462599716476678	-0.52359877559829937077	0.00000000093132257462	3557514.65831327857449650764	-2053932.04562321328558027744	-4862789.03759298194199800491	
43	4787610.68828721903264522552	-2764128.31965775834396481514	-3170373.73529208218678832054	-0.52359877559829881566	-0.52359877559829937077	0.00000000000000000000	4787610.68828721903264522552	-2764128.31965775834396481514	-3170373.73529208218678832054	
44	5440261.45378251001238822937	-3140936.41480328096076846123	-1100248.54769961861893534660	-0.17453292519943292005	-0.52359877559829948179	-0.00000000093132257462	5440261.45378251001238822937	-3140936.41480328142642974854	-1100248.54769961838610470295	
45	5440261.45378251001238822937	-3140936.41480328096076846123	1100248.54769961861893534660	0.17453292519943292005	-0.52359877559829948179	-0.00000000093132257462	5440261.45378251001238822937	-3140936.41480328142642974854	1100248.54769961838610470295	
46	4787610.68828721903264522552	-2764128.31965775834396481514	3170373.73529208218678832054	0.52359877559829881566	-0.52359877559829937077	0.00000000000000000000	4787610.68828721903264522552	-2764128.31965775834396481514	3170373.73529208218678832054	
47	3557514.65831327857449650764	-2053932.04562321328558027744	4862789.03759298194199800491	0.87266462599716476678	-0.52359877559829937077	0.00000000093132257462	3557514.65831327857449650764	-2053932.04562321328558027744	4862789.03759298194199800491	
48	1894800.92594556999392807484	-1093963.82465542829595506191	5971040.00700851436704397202	1.22173047639603060688	-0.52359877559829948179	0.00000000000000000000	1894800.92594556999392807484	-1093963.82465542852878570557	5971040.00700851436704397202	
49	0.00000000039186209249	0.00000000000000000000	6356752.31414035707712173462	1.57079632679489655800	0.00000000000000000000	0.00000000000000000000	0.00000000039186209249	0.00000000000000000000	6356752.31414035707712173462	
