time (min)	GST (deg)	GST (min)	GST (sec)	GST (hour)	GST (min)	GST (sec)
980	74.0000	17.0000	6.8020	4.0000	57.0000	8.4535
990	76.0000	47.0000	31.4432	5.0000	7.0000	10.0962
1000	79.0000	17.0000	56.0844	5.0000	17.0000	11.7390
1010	81.0000	48.0000	20.7255	5.0000	27.0000	13.3817
1020	84.0000	18.0000	45.3667	5.0000	37.0000	15.0244
1030	86.0000	49.0000	10.0079	5.0000	47.0000	16.6672
1040	89.0000	19.0000	34.6491	5.0000	57.0000	18.3099
1050	91.0000	49.0000	59.2903	6.0000	7.0000	19.9527
1060	94.0000	20.0000	23.9315	6.0000	17.0000	21.5954
1070	96.0000	50.0000	48.5727	6.0000	27.0000	23.2382
1080	99.0000	21.0000	13.2138	6.0000	37.0000	24.8809
1090	101.0000	51.0000	37.8550	6.0000	47.0000	26.5237
1100	104.0000	22.0000	2.4962	6.0000	57.0000	28.1664
1110	106.0000	52.0000	27.1374	7.0000	7.0000	29.8092
1120	109.0000	22.0000	51.7786	7.0000	17.0000	31.4519
1130	111.0000	53.0000	16.4198	7.0000	27.0000	33.0947
1140	114.0000	23.0000	41.0609	7.0000	37.0000	34.7374
1150	116.0000	54.0000	5.7021	7.0000	47.0000	36.3801
1160	119.0000	24.0000	30.3433	7.0000	57.0000	38.0229
1170	121.0000	54.0000	54.9845	8.0000	7.0000	39.6656
1180	124.0000	25.0000	19.6257	8.0000	17.0000	41.3084
1190	126.0000	55.0000	44.2669	8.0000	27.0000	42.9511
1200	129.0000	26.0000	8.9080	8.0000	37.0000	44.5939
1210	131.0000	56.0000	33.5492	8.0000	47.0000	46.2366
1220	134.0000	26.0000	58.1904	8.0000	57.0000	47.8794
1230	136.0000	57.0000	22.8316	9.0000	7.0000	49.5221
1240	139.0000	27.0000	47.4728	9.0000	17.0000	51.1649
1250	141.0000	58.0000	12.1140	9.0000	27.0000	52.8076
1260	144.0000	28.0000	36.7552	9.0000	37.0000	54.4503
1270	146.0000	59.0000	1.3963	9.0000	47.0000	56.0931
1280	149.0000	29.0000	26.0375	9.0000	57.0000	57.7358
1290	151.0000	59.0000	50.6787	10.0000	7.0000	59.3786
1300	154.0000	30.0000	15.3199	10.0000	18.0000	1.0213
1310	157.0000	0.0000	39.9611	10.0000	28.0000	2.6641
1320	159.0000	31.0000	4.6023	10.0000	38.0000	4.3068
1330	162.0000	1.0000	29.2434	10.0000	48.0000	5.9496
1340	164.0000	31.0000	53.8846	10.0000	58.0000	7.5923
1350	167.0000	2.0000	18.5258	11.0000	8.0000	9.2351
1360	169.0000	32.0000	43.1670	11.0000	18.0000	10.8778
1370	172.0000	3.0000	7.8082	11.0000	28.0000	12.5205
1380	174.0000	33.0000	32.4494	11.0000	38.0000	14.1633
