Time	C/A obs		Time	C/A obs		Time	C/A obs		Time	C/A obs		Time	C/A obs		Time	C/A obs
46185	24865829.39140	50355	21969195.68040	54530	20284706.08640	58705	20363841.10940	62875	21682241.49240	67050	23454070.14840
46190	24862110.13340	50360	21966235.25840	54535	20283755.84440	58710	20364855.99240	62880	21684216.15640	67050	23456274.53940
46195	24858390.03140	50365	21963276.09440	54540	20282808.49240	58715	20365872.45340	62885	21686191.99240	67050	23458478.57840
46200	24854670.75040	50370	21960319.25040	54545	20281864.15640	58720	20366890.43840	62890	21688168.05540	67050	23460682.26640
46205	24850951.39840	50375	21957364.07840	54550	20280921.79740	58725	20367911.07840	62895	21690144.96940	67050	23462886.82040
46210	24847230.58640	50380	21954410.48440	54555	20279982.73440	58730	20368933.23440	62900	21692122.30540	67050	23465091.44540
46215	24843510.88340	50385	21951458.71940	54560	20279045.93840	58735	20369956.84440	62905	21694100.10240	67050	23467295.91440
46220	24839790.83640	50390	21948509.06340	54565	20278112.25840	58740	20370982.58640	62910	21696078.64840	67050	23469500.32040
46225	24836071.24240	50395	21945560.93040	54570	20277181.02340	58745	20372009.69540	62915	21698057.78940	67050	23471705.13340
46230	24832351.19540	50400	21942615.45340	54575	20276252.42240	58750	20373039.35240	62920	21700037.44540	67050	23473909.68040
46235	24828631.79740	50405	21939671.12540	54580	20275326.67240	58755	20374069.82040	62925	21702017.77340	67050	23476114.43040
46240	24824911.56340	50410	21936728.35940	54585	20274403.24240	58760	20375102.37540	62930	21703996.95340	67050	23478319.65640
46245	24821191.32040	50415	21933787.78140	54590	20273482.93840	58765	20376137.35940	62935	21705977.77340	67050	23480524.98440
46250	24817471.68840	50420	21930849.47740	54595	20272565.17240	58770	20377173.48440	62940	21707960.39140	67050	23482730.12540
46255	24813751.93040	50425	21927912.53940	54600	20271650.06340	58775	20378211.61740	62945	21709942.63340	67050	23484935.15640
46260	24810031.23440	50430	21924976.93840	54605	20270737.45340	58780	20379251.69540	62950	21711925.36740	67050	23487141.04740
46265	24806312.00840	50435	21922044.18840	54610	20269827.64840	58785	20380293.08640	62955	21713909.12540	67050	23489347.07040
46270	24802592.08640	50440	21919113.44540	54615	20268920.40640	58790	20381336.55540	62960	21715893.27340	67050	23491552.21940
46275	24798870.97740	50445	21916183.51640	54620	20268016.43840	58795	20382381.30540	62965	21717878.12540	67050	23493757.55540
46280	24795151.53940	50450	21913255.89140	54625	20267114.11740	58800	20383428.87540	62970	21719863.39840	67050	23495963.45340
46285	24791430.52340	50455	21910330.25840	54630	20266215.28140	58805	20384477.61740	62975	21721849.63340	67050	23498169.70340
46290	24787710.39140	50460	21907406.85240	54635	20265318.86740	58810	20385528.18040	62980	21723835.86740	67050	23500375.11740
46295	24783989.83640	50465	21904485.17240	54640	20264425.15640	58815	20386580.29740	62985	21725822.46140	67050	23502582.78140
46300	24780270.03140	50470	21901564.96140	54645	20263534.33640	58820	20387634.54740	62990	21727810.18840	67050	23504788.13340
46305	24776549.87540	50475	21898646.63340	54650	20262645.71140	58825	20388690.00040	62995	21729798.28940	67050	23506994.73440
46310	24772829.15640	50480	21895731.04740	54655	20261760.76640	58830	20389747.75840	63000	21731787.22740	67050	23509200.56340
46315	24769108.14140	50485	21892816.74240	54660	20260877.48440	58835	20390807.33640	63005	21733776.08640	67050	23511407.64840
46320	24765389.28140	50490	21889903.82840	54665	20259997.17240	58840	20391868.58640	63010	21735765.64840	67050	23513613.48440
46325	24761670.13340	50495	21886993.75040	54670	20259120.03940	58845	20392931.22740	63015	21737756.68840	67050	23515821.27340
46330	24757950.39840	50500	21884084.48440	54675	20258244.95340	58850	20393996.00840	63020	21739747.52340	67050	23518027.78940
46335	24754230.60240	50505	21881177.98440	54680	20257372.93840	58855	20395062.35240	63025	21741738.87540	67050	23520235.96940
46340	24750510.65640	50510	21878272.75040	54685	20256503.46940	58860	20396130.25040	63030	21743730.75040	67050	23522441.96140
46345	24746790.21140	50515	21875369.74240	54690	20255636.56340	58865	20397200.53940	63035	21745722.94540	67050	23524649.43040
46350	24743070.97740	50520	21872468.60940	54695	20254772.57040	58870	20398272.19540	63040	21747715.96940	67050	23526856.74240
46355	24739350.19540	50525	21869569.39840	54700	20253910.88340	58875	20399345.83640	63045	21749710.48440	67050	23529064.34440
46360	24735630.82840	50530	21866671.82840	54705	20253052.16440	58880	20400420.75040	63050	21751703.69540	67050	23531272.41440
46365	24731910.86740	50535	21863776.64140	54710	20252196.13340	58885	20401497.81340	63055	21753698.48440	67050	23533479.64840
46370	24728190.46140	50540	21860882.75840	54715	20251342.81340	58890	20402576.63340	63060	21755693.64140	67050	23535687.54740
46375	24724470.53940	50545	21857991.55540	54720	20250491.75840	58895	20403656.65640	63065	21757689.46940	67050	23537895.32040
46380	24720751.01640	50550	21855101.43040	54725	20249644.14140	58900	20404739.18040	63070	21759685.78140	67050	23540102.56340
46385	24717031.00040	50555	21852213.71140	54730	20248798.26640	58905	20405823.22740	63075	21761682.28940	67050	23542310.78140
46390	24713310.66440	50560	21849327.75040	54735	20247955.78940	58910	20406908.71140	63080	21763680.25040	67050	23544519.24240
46395	24709591.07040	50565	21846443.53940	54740	20247115.81340	58915	20407996.26640	63085	21765677.83640	67050	23546726.98440
46400	24705871.74240	50570	21843561.64840	54745	20246278.37540	58920	20409085.21140	63090	21767676.60940	67050	23548935.89140
46405	24702152.35240	50575	21840681.42240	54750	20245443.85940	58925	20410175.80540	63095	21769675.43040	67050	23551144.00040
