Pt_ID	xo (m)	yo (m)	zo (m)	lat (rad)	lon (rad)	he (m)	x (m)	y (m)	z (m)
1	1894800.92594557070000000000	1093963.82465542710000000000	-5971040.00700851440000000000	-1.22173047639603060000	0.52359877559829870000	0.00000000000000000000	1894800.92594557070000000000	1093963.82465542690000000000	-5971040.00700851440000000000	
2	3557514.65831327950000000000	2053932.04562321120000000000	-4862789.03759298190000000000	-0.87266462599716477000	0.52359877559829882000	0.00000000000000000000	3557514.65831327950000000000	2053932.04562321120000000000	-4862789.03759298190000000000	
3	4787610.68828722090000000000	2764128.31965775550000000000	-3170373.73529208220000000000	-0.52359877559829870000	0.52359877559829870000	0.00000000000000000000	4787610.68828722090000000000	2764128.31965775510000000000	-3170373.73529208170000000000	
4	5440261.45378251280000000000	3140936.41480327770000000000	-1100248.54769961860000000000	-0.17453292519943292000	0.52359877559829870000	0.00000000000000000000	5440261.45378251280000000000	3140936.41480327720000000000	-1100248.54769961840000000000	
5	5440261.45378251280000000000	3140936.41480327770000000000	1100248.54769961860000000000	0.17453292519943292000	0.52359877559829870000	0.00000000000000000000	5440261.45378251280000000000	3140936.41480327720000000000	1100248.54769961840000000000	
6	4787610.68828722090000000000	2764128.31965775550000000000	3170373.73529208220000000000	0.52359877559829870000	0.52359877559829870000	0.00000000000000000000	4787610.68828722090000000000	2764128.31965775510000000000	3170373.73529208170000000000	
7	3557514.65831327950000000000	2053932.04562321120000000000	4862789.03759298190000000000	0.87266462599716477000	0.52359877559829882000	0.00000000000000000000	3557514.65831327950000000000	2053932.04562321120000000000	4862789.03759298190000000000	
8	1894800.92594557070000000000	1093963.82465542710000000000	5971040.00700851440000000000	1.22173047639603060000	0.52359877559829870000	0.00000000000000000000	1894800.92594557070000000000	1093963.82465542690000000000	5971040.00700851440000000000	
9	0.00000000013397192962	2187927.64931085470000000000	-5971040.00700851440000000000	-1.22173047639603060000	1.57079632679489660000	0.00000000000000000000	0.00000000013397192962	2187927.64931085470000000000	-5971040.00700851440000000000	
10	0.00000000025153413053	4107864.09124642280000000000	-4862789.03759298190000000000	-0.87266462599716477000	1.57079632679489660000	0.00000000000000000000	0.00000000025153413053	4107864.09124642280000000000	-4862789.03759298190000000000	
11	0.00000000033850808991	5528256.63931551200000000000	-3170373.73529208220000000000	-0.52359877559829870000	1.57079632679489660000	0.00000000000000000000	0.00000000033850808991	5528256.63931551200000000000	-3170373.73529208170000000000	
12	0.00000000038465377267	6281872.82960655630000000000	-1100248.54769961860000000000	-0.17453292519943292000	1.57079632679489660000	0.00000000000000000000	0.00000000038465377267	6281872.82960655630000000000	-1100248.54769961840000000000	
13	0.00000000038465377267	6281872.82960655630000000000	1100248.54769961860000000000	0.17453292519943292000	1.57079632679489660000	0.00000000000000000000	0.00000000038465377267	6281872.82960655630000000000	1100248.54769961840000000000	
14	0.00000000033850808991	5528256.63931551200000000000	3170373.73529208220000000000	0.52359877559829870000	1.57079632679489660000	0.00000000000000000000	0.00000000033850808991	5528256.63931551200000000000	3170373.73529208170000000000	
15	0.00000000025153413053	4107864.09124642280000000000	4862789.03759298190000000000	0.87266462599716477000	1.57079632679489660000	0.00000000000000000000	0.00000000025153413053	4107864.09124642280000000000	4862789.03759298190000000000	
16	0.00000000013397192962	2187927.64931085470000000000	5971040.00700851440000000000	1.22173047639603060000	1.57079632679489660000	0.00000000000000000000	0.00000000013397192962	2187927.64931085470000000000	5971040.00700851440000000000	
17	-1894800.92594557070000000000	1093963.82465542710000000000	-5971040.00700851440000000000	-1.22173047639603060000	2.61799387799149440000	0.00000000000000000000	-1894800.92594557070000000000	1093963.82465542710000000000	-5971040.00700851440000000000	
18	-3557514.65831327950000000000	2053932.04562321120000000000	-4862789.03759298190000000000	-0.87266462599716477000	2.61799387799149440000	0.00000000000000000000	-3557514.65831327950000000000	2053932.04562321120000000000	-4862789.03759298190000000000	
19	-4787610.68828722090000000000	2764128.31965775550000000000	-3170373.73529208220000000000	-0.52359877559829870000	2.61799387799149440000	0.00000000000000000000	-4787610.68828722090000000000	2764128.31965775550000000000	-3170373.73529208170000000000	
20	-5440261.45378251280000000000	3140936.41480327770000000000	-1100248.54769961860000000000	-0.17453292519943292000	2.61799387799149440000	0.00000000000000000000	-5440261.45378251280000000000	3140936.41480327770000000000	-1100248.54769961840000000000	
21	-5440261.45378251280000000000	3140936.41480327770000000000	1100248.54769961860000000000	0.17453292519943292000	2.61799387799149440000	0.00000000000000000000	-5440261.45378251280000000000	3140936.41480327770000000000	1100248.54769961840000000000	
22	-4787610.68828722090000000000	2764128.31965775550000000000	3170373.73529208220000000000	0.52359877559829870000	2.61799387799149440000	0.00000000000000000000	-4787610.68828722090000000000	2764128.31965775550000000000	3170373.73529208170000000000	
23	-3557514.65831327950000000000	2053932.04562321120000000000	4862789.03759298190000000000	0.87266462599716477000	2.61799387799149440000	0.00000000000000000000	-3557514.65831327950000000000	2053932.04562321120000000000	4862789.03759298190000000000	
