Pt_ID	xo (m)	yo (m)	zo (m)	lat (rad)	lon (rad)	he (m)	e (m)	n (m)	u (m)	Az (rad)	El (rad)	Sr (m)
1	1894800.92594557070000000000	1093963.82465542710000000000	-5971040.00700851440000000000	-1.22173047639603060000	0.52359877559829870000	0.00000000000000000000	0.00000000000000000000	-0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	
2	3557514.65831327950000000000	2053932.04562321120000000000	-4862789.03759298190000000000	-0.87266462599716477000	0.52359877559829882000	0.00000000000000000000	0.00000000034924596548	2183194.26226511780000000000	-384758.32089162746000000000	0.00000000000000015997	-0.17444508496131300000	2216839.22562793830000000000	
3	4787610.68828722090000000000	2764128.31965775550000000000	-3170373.73529208220000000000	-0.52359877559829870000	0.52359877559829870000	0.00000000000000000000	0.00000000000000000000	4096766.78256444350000000000	-1489305.62889963320000000000	0.00000000000000000000	-0.34867878367938582000	4359074.36584827680000000000	
4	5440261.45378251280000000000	3140936.41480327770000000000	-1100248.54769961860000000000	-0.17453292519943292000	0.52359877559829870000	0.00000000000000000000	0.00000000023283064365	5512958.86884817850000000000	-3176835.07436742820000000000	0.00000000000000004223	-0.52277216282569006000	6362782.14143332840000000000	
5	5440261.45378251280000000000	3140936.41480327770000000000	1100248.54769961860000000000	0.17453292519943292000	0.52359877559829870000	0.00000000000000000000	0.00000000023283064365	6265573.20080434340000000000	-5244625.95697491520000000000	0.00000000000000003716	-0.69693033252283343000	8170894.01248190460000000000	
6	4787610.68828722090000000000	2764128.31965775550000000000	3170373.73529208220000000000	0.52359877559829870000	0.52359877559829870000	0.00000000000000000000	0.00000000000000000000	6265430.14124551230000000000	-7447659.23727448560000000000	0.00000000000000000000	-0.87139724782680505000	9732586.65357713220000000000	
7	3557514.65831327950000000000	2053932.04562321120000000000	4862789.03759298190000000000	0.87266462599716477000	0.52359877559829882000	0.00000000000000000000	0.00000000034924596548	5509537.86946520400000000000	-9523812.27102109420000000000	0.00000000000000006339	-1.04633470129469890000	11002636.39809673800000000000	
8	1894800.92594557070000000000	1093963.82465542710000000000	5971040.00700851440000000000	1.22173047639603060000	0.52359877559829870000	0.00000000000000000000	0.00000000000000000000	4084431.91800071020000000000	-11221884.46600667800000000000	0.00000000000000000000	-1.22173047639603060000	11942080.01401702900000000000	
9	0.00000000013397192962	2187927.64931085470000000000	-5971040.00700851440000000000	-1.22173047639603060000	1.57079632679489660000	0.00000000000000000000	1894800.92594557050000000000	-1027989.73343543450000000000	-374157.66410174605000000000	2.06788770984932140000	-0.17185475131873929000	2187927.64931085470000000000	
10	0.00000000025153413053	4107864.09124642280000000000	-4862789.03759298190000000000	-0.87266462599716477000	1.57079632679489660000	0.00000000000000000000	3557514.65831327950000000000	253129.47539728001000000000	-1087244.45351686240000000000	1.49976258270953620000	-0.29589889810496417000	3728550.06364832590000000000	
11	0.00000000033850808991	5528256.63931551200000000000	-3170373.73529208220000000000	-0.52359877559829870000	1.57079632679489660000	0.00000000000000000000	4787610.68828722090000000000	1499335.79767669740000000000	-2434693.19295951910000000000	1.26730122939643700000	-0.45181773272098674000	5576464.37096483820000000000	
12	0.00000000038465377267	6281872.82960655630000000000	-1100248.54769961860000000000	-0.17453292519943292000	1.57079632679489660000	0.00000000000000000000	5440261.45378251090000000000	2561444.09749979010000000000	-4251098.59713525880000000000	1.13075495815351030000	-0.61538998314105364000	7364053.22038710400000000000	
13	0.00000000038465377267	6281872.82960655630000000000	1100248.54769961860000000000	0.17453292519943292000	1.57079632679489660000	0.00000000000000000000	5440261.45378251090000000000	3314058.42945595500000000000	-6318889.47974274590000000000	1.02365952335384970000	-0.78135463679632089000	8972613.45520709640000000000	
14	0.00000000033850808991	5528256.63931551200000000000	3170373.73529208220000000000	0.52359877559829870000	1.57079632679489660000	0.00000000000000000000	4787610.68828722090000000000	3667999.15635776520000000000	-8393046.80133437180000000000	0.91704287287234765000	-0.94769892784473220000	10335311.72839176800000000000	
15	0.00000000025153413053	4107864.09124642280000000000	4862789.03759298190000000000	0.87266462599716477000	1.57079632679489660000	0.00000000000000000000	3557514.65831327950000000000	3579473.08259736650000000000	-10226298.40364632900000000000	0.78232146552510717000	-1.11236552438504450000	11403758.90369365900000000000	
